id_acolhimento;IBGE_sede;Região_sede;UF_sede;Municipio_sede;area_sede;Pop_Total2010_sede;Porte_pop2010_sede;q10_IBGE7;q10_IBGE;q10_UF;q10;q10_velha;q10_area;q10_Pop_Total2010;q10_Pop_Urbana2010;q10_Pop_Rural2010;q10_Porte_pop2010
5104203302143;510420;Região Centro-Oeste;MT;Guiratinga;5358,32;13934;Pequeno I;5100409;510040;MT;Alto Garças;Alto Garças;3660,39;10350;9455;895;Pequeno I
5004103302831;500410;Região Centro-Oeste;MS;Guia Lopes da Laguna;1210,47;10366;Pequeno I;5005004;500500;MS;Jardim;Jardim;2201,73;24346;22741;1605;Pequeno II
5004103303013;500410;Região Centro-Oeste;MS;Guia Lopes da Laguna;1210,47;10366;Pequeno I;5005004;500500;MS;Jardim;Jardim;2201,73;24346;22741;1605;Pequeno II
3518603301088;351860;Região Sudeste;SP;Guariba;270,45;35486;Pequeno II;3540903;354090;SP;Pradópolis;PRADOPOLIS;167,2;17377;16100;1277;Pequeno I
3518503305964;351850;Região Sudeste;SP;Guareí;566,26;14565;Pequeno I;3554656;355465;SP;Torre de Pedra;Torre de Pedra;71,3;2254;1469;785;Pequeno I
3518503305964;351850;Região Sudeste;SP;Guareí;566,26;14565;Pequeno I;3540507;354050;SP;Porangaba;Porangaba;266,57;8326;4020;4306;Pequeno I
3518403303091;351840;Região Sudeste;SP;Guaratinguetá;751,44;112072;Grande;3513405;351340;SP;Cruzeiro;CRUZEIRO;304,57;77039;75076;1963;Médio
3518203300752;351820;Região Sudeste;SP;Guararapes;956,58;30597;Pequeno II;3544400;354440;SP;Rubiácea;Rubiácea;236,91;2729;1563;1166;Pequeno I
3202403300947;320240;Região Sudeste;ES;Guarapari;592,23;105286;Grande;3203320;320332;ES;Marataízes;MARATAIZES;135,4;34140;27614;6526;Pequeno II
4206503301619;420650;Região Sul;SC;Guaramirim;268,12;35172;Pequeno II;4217402;421740;SC;Schroeder;Schroeder;143,82;15316;13703;1613;Pequeno I
